GameName,Abbreviation,Category,GameOperator,Activeplayer(day),IncomeType,PercentageplayerthatareGZ,NumberGZplayer,TIGZ,Comments
CS:GO,CSGO,FPS,Valve,"593,555",In-gamepurchase,,,,
DOTA2,DOTA,MOBA,Valve,"448,273",,,,,
LostArk,lost_ark,MMORPG,Tripod ,"206,202",,,,,
PUBG,PUBG,FPS,Bluehole,"175,115",In-gamepurchase,,,,
ApexLegends,Apex,FPS,Respawn ,"181,448",,,,,
GTA5,GTA,RPG,Rockstar,"95,767",,,,,
TeamFortress2,Tfort2,FPS,Valve,"110,394",,,,,
Rust,rust,FPS,Facepunch,"79,475",,,,,
ARK:SurvivalEvolved,arkse,RPG,Wildcard ,"88,263",,,,,
PAYDAY2,payday,FPS,Overkill ,"37,240",,,,,
DeadbyDaylight,daylight,MMORPG,Behaviour ,"37,207",,,,,
Destiny2,dest,FPS,Bungie,"54,781",,,,,
WarThunder,thun,MMORPG,Gaijin ,"39,950",,,,,
MIR4,mir4,MMORPG,Wemade,"41,719",,,,,
MONSTERHUNTERRISE,mhr,RPG,Nintendo ,"89,490",,,,,
