"","game","percentage_gen_z"
"1","Honor_of_Kings",0.414174975850223
"2","Onmyoji_Arena",0.510556373267848
"3","Mobile_League",0.570210772449083
"4","Mobile_Crossfire",0.637098590577566
"5","Mobile_PUBG",0.303231158482026
"6","Ace_Force",0.428900996601565
"7","Genshin_Impact",0.449608347175825
"8","Honkai_Impact",0.56705005249893
"9","Arknights",0.565611385319029
"10","Clash_Royale",0.393506537013852
"11","Clash_of_Clans",0.488306944587202
"12","Carrot_Fantasy",0.525447774357056
"13","Onmyoji",0.578577886119033
"14","Fantasy_Westward_Journey",0.522919237710962
"15","Heartstone",0.622859631720663
